Month,Store,Metric,Amount (Rs Lakhs)
April 2024,DTK,Rent ,3.4114
April 2024,AKA,Rent ,1.593
April 2024,HIM,Rent ,1.475
April 2024,SMR,Rent ,1.55
April 2024,DLP,Rent ,2.9364
April 2024,EXA,Rent ,3.8824
April 2024,VRA,Rent ,2.9205
April 2024,CPM,Rent ,3.4785
April 2024,KTP,Rent ,2.7387
April 2024,CAR,Rent ,1.7769
April 2024,VEL,Rent ,2.006
April 2024,EGL,CAM,0.0
April 2024,ITPL,CAM,0.0
April 2024,RMZ,CAM,0.1888
April 2024,KOR,CAM,0.0
April 2024,INB,CAM,0.0
April 2024,DIV,CAM,0.177
April 2024,IND,CAM,0.0
April 2024,BAG,CAM,0.3098
April 2024,ECO-old,CAM,0.0
April 2024,DLF,CAM,0.0
April 2024,MAN,CAM,0.0
April 2024,ECW-old,CAM,0.2036
April 2024,MTP,CAM,0.0
April 2024,ETV,CAM,0.0
April 2024,VIR,CAM,0.295
April 2024,Tecno,CAM,0.0
April 2024,ARK,CAM,0.0
April 2024,SIG,CAM,0.0
April 2024,HSR,CAM,0.0
April 2024,CVR,CAM,0.295
April 2024,SJP,CAM,0.0
April 2024,ORW,CAM,1.0762
April 2024,EST,CAM,0.3788
April 2024,ORE,CAM,0.0
April 2024,AUR,CAM,0.0
April 2024,JPN,CAM,0.0
April 2024,JPC,CAM,0.0
April 2024,PTP,CAM,0.0
April 2024,SEC,CAM,0.0
April 2024,SYH,CAM,0.0
April 2024,ETF,CAM,0.0
April 2024,GSC,CAM,0.0
April 2024,PRI,CAM,0.0
April 2024,ECN,CAM,0.4336
April 2024,RGA,CAM,0.2643
April 2024,KCK,CAM,0.0
April 2024,BVG,CAM,0.118
April 2024,CLA,CAM,0.0
April 2024,IBC,CAM,0.0
April 2024,BTG,CAM,0.2602
April 2024,ECT,CAM,0.0
April 2024,RRR,CAM,0.4413
April 2024,SHV,CAM,0.1475
April 2024,DCB,CAM,0.0
April 2024,VBP,CAM,0.4673
April 2024,ADM,CAM,1.1417
April 2024,SFC,CAM,0.0578
April 2024,SCK,CAM,0.0
April 2024,SES,CAM,0.0
April 2024,JIG,CAM,0.0865
April 2024,GCN,CAM,0.6938
April 2024,ANN,CAM,0.8615
April 2024,SKO,CAM,1.03
April 2024,JAP,CAM,0.0
April 2024,DWR,CAM,0.0
April 2024,AVK,CAM,0.7591
April 2024,CYG,CAM,0.8937
April 2024,NSS,CAM,0.0
April 2024,GEB,CAM,0.563
April 2024,ROH,CAM,0.0
April 2024,EKL,CAM,0.0
April 2024,PBF,CAM,0.59
April 2024,KBB,CAM,0.531
April 2024,IHY,CAM,0.4248
April 2024,DCH,CAM,0.0
April 2024,HAA,CAM,0.0
April 2024,SCH,CAM,0.5204
April 2024,LTP,CAM,0.4507
April 2024,FSM,CAM,0.5711
April 2024,GSM,CAM,0.2654
April 2024,PPM,CAM,0.4553
April 2024,FLM,CAM,0.0949
April 2024,FDN,CAM,0.2804
April 2024,DTK,CAM,0.2322
April 2024,AKA,CAM,0.59
April 2024,HIM,CAM,0.0
April 2024,SMR,CAM,0.4104
April 2024,DLP,CAM,0.5855
April 2024,EXA,CAM,0.63
April 2024,VRA,CAM,1.0915
April 2024,CPM,CAM,0.7499
April 2024,KTP,CAM,0.531
April 2024,CAR,CAM,0.693
April 2024,EGL,Aggregator commission,0.0
April 2024,ITPL,Aggregator commission,9.4976
April 2024,RMZ,Aggregator commission,1.0291
April 2024,KOR,Aggregator commission,5.9667
April 2024,INB,Aggregator commission,0.0
April 2024,DIV,Aggregator commission,2.5301
April 2024,IND,Aggregator commission,10.9845
April 2024,BAG,Aggregator commission,0.9852
April 2024,MAN,Aggregator commission,2.0585
April 2024,ECW-old,Aggregator commission,4.6317
April 2024,MTP,Aggregator commission,0.0
April 2024,VIR,Aggregator commission,5.0193
April 2024,Tecno,Aggregator commission,0.0
April 2024,ARK,Aggregator commission,7.9876
April 2024,HSR,Aggregator commission,11.9381
April 2024,CVR,Aggregator commission,0.0
April 2024,SJP,Aggregator commission,0.0
April 2024,ORW,Aggregator commission,1.7227
April 2024,EST,Aggregator commission,5.5898
April 2024,JPN,Aggregator commission,7.2381
April 2024,SYH,Aggregator commission,7.9227
April 2024,ETF,Aggregator commission,0.0
April 2024,GSC,Aggregator commission,0.0
April 2024,PRI,Aggregator commission,0.0
April 2024,ECN,Aggregator commission,3.0646
April 2024,RGA,Aggregator commission,4.2846
April 2024,KNP,Aggregator commission,3.0924
April 2024,KCK,Aggregator commission,9.6236
April 2024,BVG,Aggregator commission,4.2422
April 2024,CLA,Aggregator commission,6.3671
April 2024,IBC,Aggregator commission,1.1987
April 2024,BTG,Aggregator commission,3.1661
April 2024,ECT,Aggregator commission,5.5106
April 2024,RRR,Aggregator commission,3.2292
April 2024,SHV,Aggregator commission,4.3953
