Month,Store,Metric,Amount,Percent of Net Sales
Apr 24,RRR,Gross margin,1451965.695419741,0.6110872728029967
Apr 24,RRR,store Labor Cost,345796.625,0.1455350613188169
Apr 24,RRR,Utility Cost,105034.0,0.04420554894241842
Apr 24,RRR,CAM,44132.0,0.01857378835355037
Apr 24,RRR,Aggregator commission,322918.98,0.1359065709658381
Apr 24,RRR,Marketing & advertisement,59438.54,0.02501583572020389
Apr 24,RRR,Other opex expenses,119187.6280000002,0.05016237145005206
Apr 24,SHV,Gross Sales,2818040.0,1.014983150114187
Apr 24,SHV,Net Sales,2776440.18,1.0
Apr 24,SHV,COGS (food +packaging),1049898.048396692,0.3781453877377225
Apr 24,SHV,Gross margin,1726542.131603308,0.6218546122622775
Apr 24,SHV,store Labor Cost,313584.514,0.1129448119426077
Apr 24,SHV,Utility Cost,114200.0,0.04113180641262727
Apr 24,SHV,CAM,14750.0,0.005312558183767532
Apr 24,SHV,Aggregator commission,439533.98,0.1583084638978247
Apr 24,SHV,Marketing & advertisement,114936.62,0.04139711736919179
Apr 24,SHV,Other opex expenses,111975.045,0.04033043672491443
Apr 24,DCB,Gross Sales,738611.0,1.0
Apr 24,DCB,Net Sales,738611.0,1.0
Apr 24,DCB,COGS (food +packaging),268542.155121,0.3635772485394883
Apr 24,DCB,Gross margin,470068.844879,0.6364227514605117
Apr 24,DCB,store Labor Cost,187442.69,0.2537772792444196
Apr 24,DCB,Utility Cost,0.0,0.0
Apr 24,DCB,CAM,0.0,0.0
Apr 24,DCB,Aggregator commission,0.0,0.0
Apr 24,DCB,Marketing & advertisement,2478.59,0.003355744769574241
Apr 24,DCB,Other opex expenses,115935.24,0.1569638686669979
Apr 24,VBP,Gross Sales,4907413.0,1.014023133708839
Apr 24,VBP,Net Sales,4839547.38,1.0
Apr 24,VBP,COGS (food +packaging),1844145.413012761,0.3810574147148367
Apr 24,VBP,Gross margin,2995401.966987238,0.6189425852851632
Apr 24,VBP,store Labor Cost,400214.6119320136,0.08269670291605113
Apr 24,VBP,Utility Cost,104981.84,0.02169249141641837
Apr 24,VBP,CAM,46733.22,0.009656527011829771
Apr 24,VBP,Aggregator commission,765246.77,0.1581236239493124
Apr 24,VBP,Marketing & advertisement,122522.18,0.02531686754557613
Apr 24,VBP,Other opex expenses,159264.418633449,0.03290894914917622
Apr 24,ADM,Gross Sales,6680719.0,1.007835025724604
Apr 24,ADM,Net Sales,6628782.32,1.0
Apr 24,ADM,COGS (food +packaging),2489265.23466747,0.3755237560233339
Apr 24,ADM,Gross margin,4139517.085332531,0.624476243976666
Apr 24,ADM,store Labor Cost,691294.7823194375,0.1042868431859198
Apr 24,ADM,Utility Cost,137452.0,0.02073563338854669
Apr 24,ADM,CAM,114166.0,0.0172227710141491
Apr 24,ADM,Aggregator commission,1226958.65,0.1850956315608807
Apr 24,ADM,Marketing & advertisement,66995.38,0.01010674008676755
Apr 24,ADM,Other opex expenses,233227.2351087563,0.03518402382969732
Apr 24,SFC,Gross Sales,4510955.0,1.000115798202687
Apr 24,SFC,Net Sales,4510432.7,1.0
