month,store,aggregator_commission,cam,cogs_food_pluspackaging,gross_sales,marketing_&_advertisement,net_sales,other_opex_expenses,rent,utility_cost,store_labor_cost,total_outlet_expenses,outlet_ebitda
August 2024,JAP,6.9202,0.0,13.0855,31.2461,1.2107,31.2427,1.4353,0.371,1.4427,3.603,28.068400000000004,3.1742999999999952
August 2024,JAY,0.0043,,3.86,4.8758,1.0395,4.6443,1.6762,0.8387,0.325,0.2484,7.992100000000001,-3.3478000000000003
August 2024,JIG,8.3636,0.0865,18.7818,46.6264,1.673,46.2338,1.7633,1.45,2.2253,5.4042,39.747699999999995,6.4861000000000075
August 2024,JPC,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
August 2024,JPN,8.8808,0.0,22.114,59.9329,2.2127,59.2329,2.2015,5.8006,2.0601,5.8706,49.1403,10.092599999999997
August 2024,KAM,1.7002,0.059,7.8352,20.0601,4.4108,19.4777,2.4466,4.071,1.1611,3.9069,25.5908,-6.113100000000003
August 2024,KBB,6.6693,0.531,14.2068,31.8881,3.3454,31.787,1.6311,0.4041,1.0951,3.0521,30.9349,0.8521000000000001
August 2024,KCK,10.9221,0.0,18.0007,50.3501,0.8086,50.33,1.7403,0.3828,1.6601,3.7732,37.2878,13.042200000000001
August 2024,KNP,4.5195,,10.295,28.8857,2.2205,28.4859,1.5086,1.652,1.2769,4.2741,25.746599999999997,2.7393000000000036
August 2024,KOR,7.0797,0.0,16.483,47.4404,0.4395,46.7074,2.2323,2.36,2.3055,4.7759,35.6759,11.031500000000001
August 2024,KTP,5.2119,0.531,16.6811,47.2661,0.7817,46.1341,1.4729,4.0826,2.7149,5.888,37.3641,8.769999999999996
August 2024,LTP,2.6791,0.4507,7.8145,21.6706,0.5072,21.2061,1.2467,1.9089,1.3585,2.8082,18.7738,2.432299999999998
August 2024,MAN,2.8904,0.0,10.1307,29.567,1.9371,28.853,0.8977,3.4044,0.8987,3.8925,24.0515,4.801500000000001
August 2024,MOM,1.1443,0.4109,2.9727,7.4369,0.62,7.3334,0.9202,0.9226,0.6341,3.0814,10.7062,-3.3728000000000007
August 2024,MTP,0.0,0.0,4.2542,10.4856,0.2106,9.9864,0.8005,1.8855,0.8157,2.1838,10.150300000000001,-0.1639000000000017
August 2024,NSS,8.6526,0.0,16.4868,39.1974,0.7428,39.1971,2.3783,0.47,1.3536,2.6502,32.7343,6.462800000000001
August 2024,ORE,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
August 2024,ORW,1.9546,1.0762,11.7522,33.8442,3.9848,32.6919,1.0217,5.2024,1.03,3.6796,29.701500000000003,2.990399999999994
August 2024,PBF,2.3465,0.59,7.75,18.8661,3.9005,18.4774,1.1269,2.0762,0.5971,3.3142,21.7014,-3.224
August 2024,PPM,3.0843,0.4553,8.1081,22.4473,0.3331,22.0363,1.1438,1.8816,0.7164,3.1995,18.9221,3.1142000000000003
August 2024,PRI,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
August 2024,PRM,0.0,1.3017,5.178,13.8784,0.3607,13.2175,0.9856,2.4314,0.8543,3.5766,14.6883,-1.4708000000000006
August 2024,PTP,2.3543,0.177,6.8271,15.6892,1.7856,15.4292,1.3541,0.9516,0.58,3.0593,17.089,-1.6597999999999988
August 2024,RGA,2.9187,0.2643,7.0818,20.8626,0.0659,20.6255,1.1399,1.6086,0.8999,3.0491,17.0282,3.5973000000000006
